id,sku,short_description,price,list_price,quantity_sold,favourite_count,discount,discount_rate,review_count,rating_average,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name,,
129167166,9.65742E+12,"Đặc điểm nổi bậtItel A48 là một chiếc smartphone đa năng, sở hữu nhiều tính năng ấn tượng như: màn hình 6.1 inch HD+, pin 3.000 mAh, cảm biến vân tay, camera kép,… Đặc biệt, Itel A48 được bán với mứ...",1273000,1990000,74,0,717000,36,11,4.5,available,,1000,1000,,111461,OEM,,
270975124,7.69267E+12,"OPPO A58 - chiếc điện thoại kế nhiệm nhà OPPO dự kiến sẽ có những thiết kế nổi bật ngoài sự mong đợi. Điện thoại sở hữu cấu hình ấn tượng với chip Dimensity 700 và khả năng đa nhiệm của RAM 8G, bộ nhớ...",4350000,4990000,15,0,640000,13,2,5,available,,1000,1000,,25643,OPPO,,
273378164,1.67473E+12,"Để cạnh tranh với các đối thủ trong phân khúc, Xiaomi đã cho ra mắt sản phẩm mới , một sản phẩm giá rẻ có nhiều cải tiến nổi bật. Sản phẩm này được nâng cấp nhiều về thiết kế, hiệu năng thông qua chip...",2900000,3490000,1,0,590000,17,0,0,available,,1000,1000,,25422,Xiaomi,,
272056193,9.12537E+12,"Điện Thoại Xiaomi Redmi Note 12 8GB/128GB - Hàng Chính HãngBộ sản phẩm bao gồm: Pin, sạc, cáp USB kiểu C, ốp lưng, hướng dẫn, cây tháo sim.Trải nghiệm thích hơn với màn hình lớn-Trang bị cho máy m...",4459000,5790000,6,0,1331000,23,2,4.5,available,,1000,1000,,25422,Xiaomi,,
252392905,8.53765E+12,"Samsung vừa tung ra thị trường mẫu điện thoại thông minh Samsung Galaxy A54 5G vào tháng 03/2023. Đây là một sản phẩm tầm trung đáng chú ý, được trang bị màn hình Super AMOLED hiện đại và sử dụng con ...",8390000,11490000,4,0,3100000,27,1,5,available,,1000,1000,,18802,Samsung,,
272234493,3.48281E+12,"Điện thoại Samsung Galaxy M34 5G (8GB/128GB)Màn hình: Super AMOLED 6.5"", Full HD+ (1080 x 2340 Pixels)Hệ điều hành: Android 13Camera sau: 50 MP + 8 MP + 2 MPCamera trước: 13 MPChipset:...",6419000,7990000,1,0,1571000,20,0,0,available,,1000,1000,,18802,Samsung,,
179589103,2.37961E+12,"Thông số kỹ thuậtMàn hình 6.71 inch, IPS, HD+, 720 x 1560 PixelsCamera sau 50.0 MP + 2.0 MPCamera Selfie 5.0 MPRAM 4 GBBộ nhớ trong 128 GBCPU Snapdragon 680GPU Adreno 610Dung lượng pin 5000 mA...",3090000,3599000,37,0,509000,14,7,5,available,,1000,1000,,25422,Xiaomi,,
271118390,8.55601E+12,"Là một trong những chiếc smartphone mới nhất của OPPO trên thị trường hiện nay, OPPO Reno10 5G mang trên mình bộ áo đẹp mắt, hiệu năng ổn định đi cùng với đó là khả năng nhiếp ảnh vượt trội, đáp ứng m...",9390000,10990000,17,0,1600000,15,7,5,available,,1000,1000,,25643,OPPO,,
271087979,4.73566E+12,"OPPO là nhà sản xuất điện thoại di động hàng đầu của Trung Quốc, tiếp tục thể hiện sự đổi mới và sáng tạo với dòng sản phẩm mới mang tên OPPO A58. Thiết kế của chiếc điện thoại này mang đậm tính hiện ...",4290000,4990000,11,0,700000,14,4,4.8,available,,1000,1000,,25643,OPPO,,
249143473,3.23363E+12,"Được giới thiệu vào tháng 03/2023, Samsung Galaxy A34 5G 128GB là một lựa chọn đáng chú ý trong thị trường điện thoại Android tầm trung. Với kết nối 5G tiên tiến và hiệu suất đáng tin cậy, sản phẩm hứ...",5650000,8490000,39,0,2840000,33,11,5,available,,1000,1000,,18802,Samsung,,
258667842,2.46564E+12,"Hãng Xiaomi đã tiếp tục cho ra mắt mẫu điện thoại mới của mình trong năm 2023 với tên gọi Xiaomi Redmi Note 12 Pro 4G (8GB/256GB) được định hình là dòng sản phẩm thuộc phân khúc tầm trung, sở hữu nhiề...",7990000,7990000,16,0,0,0,6,4.8,available,,1000,1000,,25422,Xiaomi,,
270714226,1.31802E+12," *Thông số kỹ thuật:- Bộ nhớ mở rộng: RAM 8GB(4GB+4GB) ROM: 128GB- Màn hình: IPS LCD 6,6"" ,Độ phân giải HD+- Tần số quét: 90Hz- Dung lượng p...",2090000,2590000,28,0,500000,19,11,4.5,available,,1000,1000,,111684,Itel,,
272273169,4.40215E+12,...,6990000,7990000,7,0,1000000,13,0,0,available,,1000,1000,,18802,Samsung,,
198671718,2.658E+12,"Rộng mở thêm trải nghiệmGiải trí bất tận mỗi ngày, thoải mái thưởng thức nhiều nội dung hơn với màn hình tràn viền vô cực Infinity-V 6,5inch trên Galaxy A04s. Tận hưởng nội dung hiển thị rõ ràng ...",2790000,3990000,96,0,1200000,30,22,5,available,,1000,1000,,18802,Samsung,,
270683809,4.46921E+12,"Màn hình ngoài Flex Window 3.4''. Thiết kế nhỏ gọn vừa túi.Cùng gặp gỡ Flex Window 3.4 inch - màn hình ngoài đa năng được sinh ra để bạn thể hiện cá tính. Với bản lề Flex được tái thiết kế, giờ đây G...",22490000,29990000,21,0,7500000,25,3,5,available,,1000,1000,,18802,Samsung,,
250113073,8.23688E+12,"Xiaomi Redmi Note 12 Pro 5G là mẫu điện thoại thuộc dòng Redmi Note được chính thức ra mắt trong năm 2023, máy mang trên mình những cải tiến vượt trội về thiết kế, camera và hiệu năng, đáp ứng mượt mà...",8390000,9490000,21,0,1100000,12,5,4.8,available,,1000,1000,,25422,Xiaomi,,
271798615,6.21312E+12,"Màn hình 6.52 in, HD+720*1600Pin 10.600 mAhRam 15Gb(8GB+7Gb mở rộng),Rom 256GBHệ điều hành Android 13Camera sau 48MP,camera trước 5MPSử dụng 2 sim nano hoặc 1 sim nano,1 thẻ nhớBluetooth 5.0,GP...",4990000,4990000,2,0,0,0,2,5,available,,1000,1000,,112735,Oukitel,,
